"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"Arduino_Nano";1;"Arduino_Nano";;;
2;"C1, C4, C5";"C_Disc_D3.8mm_W2.6mm_P2.50mm";3;"100nF";;;
3;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"100uF/16V";;;
4;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"47uF/10V";;;
5;"D1";"LED_D3.0mm";1;"LED_RED";;;
6;"D2";"LED_D3.0mm";1;"LED_GRN";;;
7;"D3, D4";"D_DO-15_P12.70mm_Horizontal";2;"D_DO-15_P12.70mm_Horizontal";;;
8;"F1";"Fuse_BelFuse_0ZRE0012FF_L8.3mm_W3.8mm";1;"Fuse_BelFuse_0ZRE0012FF_L8.3mm_W3.8mm";;;
9;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CANNON_7PIN";;;
10;"J2";"PinHeader_1x10_P2.54mm_Vertical";1;"PANEL_10PIN";;;
11;"PS1";"PinHeader_1x05_P2.54mm_Vertical";1;"LM2596-5V";;;
12;"Q1, Q2";"TO18";2;"TO18";;;
13;"Q3, Q4";"TO92254P470H750-3";2;"TO92254P470H750-3";;;
14;"R1, R5, R6, R7, R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
15;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
16;"R3, R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330R";;;
17;"U1";"DIP-8_W7.62mm";1;"6N137";;;
