Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins,Sim.Device
A1,1,Arduino_Nano_v3.x,Arduino_Nano,,,,tht,Arduino Nano v3.x,,,
"C1, C4, C5",3,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,,,,
C2,1,100uF/25V,CP_Radial_D5.0mm_P2.50mm,,,,tht,,,,
C3,1,47uF/10V,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,Yes,tht,,capacitor/THT/other,,
D1,1,Red LED,LED_D3.0mm,,,,tht,Light emitting diode,,1=K 2=A,
D2,1,Green LED,LED_D3.0mm,,,,tht,Light emitting diode,,1=K 2=A,
"D3, D4",2,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,"50V 1A General Purpose Rectifier Diode, DO-41",diode/THT,1=K 2=A,D
F1,1,1A PTC,Fuse_BelFuse_0ZRE0012FF_L8.3mm_W3.8mm,,,,tht,,,,
J1,1,CANNON_7PIN,PinHeader_1x07_P2.54mm_Vertical,,,,tht,,,,
J2,1,PANEL_10PIN,PinHeader_1x10_P2.54mm_Vertical,,,,tht,,,,
PS1,1,LM2596-5V,PinHeader_1x05_P2.54mm_Vertical,,,,tht,,,,
"Q1, Q2",2,2N2907A,TO18,,,,tht,,,,
"Q3, Q4",2,2N2222A,TO92254P470H750-3,,,,tht,,,,
"R1, R7, R8",3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,,,,
R2,1,4k7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,,,,
"R3, R4",2,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,,,,
"R5, R6",2,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,,,,
U1,1,6N137,DIP-8_W7.62mm,,,,tht,"Single High Speed LSTTL/TTL Compatible Optocoupler with enable, dV/dt 1000/us, VCM 10, max 7V VCC, DIP-8",package/DIP/legacy,,
